id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link    ,wikipedia_link,keywords,score,last_updated,landing
5233,OPKV,medium_airport,Jinnah International Airport,24.9065,67.160797,100,AS,PK,PK-SD,Karachi,1,OPKC,KHI,OP1Y,321,https://en.wikipedia.org/wiki/Jinnah_International_Airport,"OPQR, OPHQ, Drigh Road Airstrip, Quaid-E-Azam International Airport",1050,2016-05-15T18:05:15+00:01,yes
5255,OPKC,medium_airport,Jinnah International Airport,24.9065,67.160797,100,AS,PK,PK-SD,Karachi,1,OPKC,KHI,OP1Y,321,https://en.wikipedia.org/wiki/Jinnah_International_Airport,"OPQR, OPHQ, Drigh Road Airstrip, Quaid-E-Azam International Airport",1050,2016-05-15T18:05:15+00:00,no
5274,OPRN,medium_airport,Benazir Bhutto International Airport,33.616699,73.099197,1668,AS,PK,PK-PB,Islamabad,0,OPRN,KHI,OP1Y,321,https://en.wikipedia.org/wiki/Benazir_Bhutto_International_Airport,"ISB, Chaklala Air Base, Islamabad International Airport, Rawalpindi",1050,2018-09-12T00:35:19+00:00,no
5257,OPLA,medium_airport,Alama Iqbal International Airport,31.52160072,74.4036026,712,AS,PK,PK-PB,Lahore,1,OPLA,LHE,OP1Y,321,https://en.wikipedia.org/wiki/Allama_Iqbal_International_Airport,OPLR,1050,2008-09-01T20:47:57+00:00,no
5270,OPPS,medium_airport,Peshawar International Airport,33.9939003,71.51460266,1158,AS,PK,PK-NW,Peshawar,1,OPPS,PEW,OP1Y,321,https://en.wikipedia.org/wiki/Peshawar_International_Airport,,875,2008-09-01T20:48:22+00:00,yes
5272,OPQT,medium_airport,Quetta International Airport,30.25139999,66.93779755,5267,AS,PK,PK-BA,Quetta,1,OPQT,UET,OP1Y,321,https://en.wikipedia.org/wiki/Quetta_International_Airport,,800,2009-02-20T09:43:22+00:00,yes
5279,OPSK,medium_airport,Sukkur Airport,27.72200012,68.79170227,196,AS,PK,PK-SD,Mirpur Khas,1,OPSK,SKZ,OP1Y,321,https://en.wikipedia.org/wiki/Sukkur_Airport,,875,2008-09-01T20:48:31+00:00,yes
5264,OPMT,medium_airport,Multan International Airport,30.20319939,71.4190979,403,AS,PK,PK-PB,Multan,1,OPMT,MUX,OP1Y,321,https://en.wikipedia.org/wiki/Multan_International_Airport,Multan Air Base,800,2009-02-20T09:54:48+00:00,no
41624,OPST,large_airport,Sialkot Airport,32.53555679,74.3638916,837,AS,PK,PK-PB,Sialkot,1,OPST,SKT,OP1Y,321,https://en.wikipedia.org/wiki/Sialkot_International_Airport,,50,2012-10-23T22:10:03+00:00,no
5251,OPFA,medium_airport,Faisalabad International Airport,31.36499977,72.99479675,591,AS,PK,PK-PB,Faisalabad,1,OPFA,LYP,OP1Y,321,https://en.wikipedia.org/wiki/Faisalabad_International_Airport,OPLF,1025,2008-09-01T20:47:36+00:00,yes
5253,OPGT,medium_airport,Gilgit Airport,35.91880035,74.33360291,4796,AS,PK,PK-NA,Gilgit,1,OPGT,GIL,OP1Y,321,https://en.wikipedia.org/wiki/Gilgit_Airport,,800,2008-09-01T20:47:38+00:00,no
32124,OPMS,medium_airport,Minhas Air Base,33.86909866,72.40090179,1023,AS,PK,PK-PB,Kamra,0,OPMS,ATG,OP1Y,321,https://en.wikipedia.org/wiki/Minhas_Airbase,Attock,50,2014-07-05T21:34:50+00:00,yes
32125,OPRQ,medium_airport,Rafiqui Air Base,30.75810051,72.28250122,492,AS,PK,PK-PB,Shorkot,0,OPRQ,ATG,OP1Y,321,https://en.wikipedia.org/wiki/Rafiqui_Airbase,,50,2009-02-20T09:22:25+00:00,no
5252,OPGD,medium_airport,Gwadar International Airport,25.23329926,62.32949829,36,AS,PK,PK-BA,Gwadar,1,OPGD,GWD,OP1Y,321,https://en.wikipedia.org/wiki/Gwadar_International_Airport,,825,2008-09-01T20:47:38+00:00,yes
5249,OPDG,medium_airport,Dera Ghazi Khan Airport,29.96100044,70.48590088,492,AS,PK,PK-PB,Dera Ghazi Khan,1,OPDG,DEA,OP1Y,321,https://en.wikipedia.org/wiki/Dera_Ghazi_Khan_Airport,,800,2008-09-01T20:47:35+00:00,no
5277,OPSD,medium_airport,Skardu Airport,35.33549881,75.53600311,7316,AS,PK,PK-NA,Skardu,1,OPSD,KDU,OP1Y,321,https://en.wikipedia.org/wiki/Skardu_Airport,,800,2008-09-01T20:48:27+00:00,yes
5283,OPTU,medium_airport,Turbat International Airport,25.9864006,63.03020096,498,AS,PK,PK-BA,Turbat,1,OPTU,TUK,OP1Y,321,https://en.wikipedia.org/wiki/Turbat_Airport,,800,2008-09-01T20:48:43+00:00,no
5265,OPNH,medium_airport,Shaheed Benazirabad Airport,26.2194,68.390099,95,AS,PK,PK-SD,Nawabashah,1,OPNH,WNS,OP1Y,321,https://en.wikipedia.org/wiki/Nawabshah_Airport,,575,2016-09-05T02:52:16+00:00,yes
5254,OPJA,medium_airport,Shahbaz Air Base,28.28420067,68.4496994,185,AS,PK,PK-SD,Jacobabad,0,OPJA,JAG,OP1Y,321,https://en.wikipedia.org/wiki/Jacobabad_Airbase,,500,2008-09-01T20:47:39+00:00,yes
32129,OPOR,small_airport,Ormara Airport,25.27470016,64.58599854,10,AS,PK,PK-BA,Ormara Raik,1,OPOR,ORW,OP1Y,321,https://en.wikipedia.org/wiki/Ormara_Airport,OPOP,350,2011-10-09T10:23:44+00:00,no
5261,OPMI,medium_airport,Mianwali Air Base,32.56309891,71.5707016,690,AS,PK,PK-PB,Mianwali,0,OPMI,MWD,OP1Y,321,https://en.wikipedia.org/wiki/Dhamial_Army_Airbase,,250,2009-02-20T09:36:40+00:00,no
